ULB,Civil Society Organizations,TLFs,SLFs,SHGs,Colony welfare associations,Civic exnora societies,NGOs,No.of Shelters
Adilabad,0,2,65,1764,0,0,0,2
Andol-Jogipet,0,1,15,327,5,0,1,1
Armoor,0,1,30,789,0,0,0,0
Atchampet,0,1,16,308,0,0,0,0
Badangpet,0,1,32,895,200,0,0,17
Badepally,0,1,21,25,0,0,1,0
Bellampalle,0,1,30,746,1,0,4,0
Bhainsa,1,1,27,636,0,0,0,0
Bhongir,0,1,0,0,0,0,0,0
Bhupalapally,0,1,29,771,0,0,2,0
Bodhan,0,1,42,1100,4,0,1,0
Boduppal,0,0,0,664,142,0,2,0
Devarakonda,0,1,18,394,0,0,0,0
Dubbaka,0,1,15,529,0,0,0,1
Gadwal,0,0,0,0,0,0,0,0
Gajwel,0,1,19,537,0,0,0,0
Husnabad,0,1,14,410,0,0,6,0
Huzurabad,0,1,17,364,0,0,0,0
Huzurnagar,0,0,0,0,0,0,0,0
Ibrahimpatnam,0,0,0,0,0,0,0,0
Ieeja,0,3,23,482,0,0,0,0
Jagtial,0,1,59,1834,0,0,2,1
Jammikunta,0,1,19,494,0,0,0,0
Jangoan,0,1,32,858,28,0,2,1
Jelpally,0,0,0,0,0,0,0,0
Jillelguda,0,1,10,272,67,0,0,0
Kagaznagar,0,1,42,870,0,0,0,0
Kalwakurthy,0,1,18,375,6,0,0,0
Kamareddy,0,0,0,0,0,0,0,0
Karimnagar,0,2,118,3826,0,0,0,1
Khammam,0,2,146,4950,0,0,0,1
Kodada,0,0,0,0,0,0,0,0
Kollapur,0,0,0,0,0,0,0,0
Korutla,0,1,45,1089,0,0,0,0
Kothagudem,0,1,43,1299,0,0,0,0
Madhira,0,1,26,552,0,0,0,0
Mahabubabad,0,0,0,0,0,0,0,0
Mahabubnagar,6,1,85,2858,6,0,4,1
Mancherial,0,0,0,0,0,0,0,0
Mandamarri,0,1,38,816,0,0,0,0
Manuguru,0,1,24,708,0,0,5,0
Medak,0,1,23,721,0,0,0,0
Medchal,0,1,18,477,0,0,0,0
Meerpet,0,1,10,326,69,0,0,0
Metpally,0,1,29,858,0,0,0,0
Miryalaguda,0,0,0,0,0,0,0,0
Nagarkurnool,1,1,18,465,1,0,1,0
Nalgonda,0,0,0,0,0,0,0,0
Narasmpet,0,1,31,669,0,0,3,0
Narayanpet,0,1,28,785,0,0,1,0
Nirmal,0,1,46,1198,0,0,2,0
Nizamabad,0,3,185,4765,50,0,5,1
Palwancha,0,0,0,0,0,0,0,0
Parakala,0,1,0,0,0,0,0,0
Pedda Amberpet,0,0,19,490,0,0,0,0
Peddapalli,0,1,29,586,0,0,0,0
Peerzadiguda,0,0,0,0,50,0,0,0
Ramagundam,0,2,136,3316,0,0,0,0
Sadasivpet,0,1,25,663,0,0,0,0
Sangareddy,0,1,35,1032,0,0,0,1
Satupally,0,1,24,606,0,0,0,0
Shadnagar,0,1,22,628,5,0,4,25
Siddipet,0,1,62,2031,20,0,5,1
Sircilla,0,1,75,1828,0,0,0,0
Suryapet,12,2,75,1838,23,4,15,1
Tandur,0,0,0,0,0,0,0,0
Vemulavada,0,0,0,0,0,0,0,0
Vikarabad,0,1,32,785,3,0,5,0
Wanaparthy,0,1,40,930,0,0,0,0
Warangal,0,0,0,0,0,0,0,0
Yellandu,0,1,22,636,0,0,3,0
Zaheerabad,0,5,34,1056,0,0,4,0